Timestamp,Colour
2023-11-16 14:30:02.145576,R:76 G:109 B:163
2023-11-16 14:30:32.165208,R:12 G:219 B:124
2023-11-16 14:31:02.203062,R:32 G:5 B:63
2023-11-16 14:31:32.239182,R:135 G:178 B:193
2023-11-16 14:32:02.262880,R:224 G:214 B:181
2023-11-16 14:32:32.283089,R:90 G:61 B:48
2023-11-16 14:33:02.319162,R:165 G:152 B:22
2023-11-16 14:33:32.362840,R:152 G:220 B:70
2023-11-16 14:34:02.395057,R:159 G:69 B:92
2023-11-16 14:34:32.431921,R:116 G:119 B:111
2023-11-16 14:35:02.471559,R:146 G:103 B:198
2023-11-16 14:35:32.483092,R:59 G:229 B:57
2023-11-16 14:36:02.511080,R:97 G:17 B:115
2023-11-16 14:36:32.551083,R:94 G:184 B:142
2023-11-16 14:37:02.583029,R:217 G:9 B:150
2023-11-16 14:37:32.615047,R:35 G:221 B:194
2023-11-16 14:38:02.647049,R:171 G:254 B:43
2023-11-16 14:38:32.683047,R:185 G:207 B:176
2023-11-16 14:39:02.719048,R:206 G:21 B:127
2023-11-16 14:39:32.756214,R:159 G:248 B:238
2023-11-16 14:40:02.791084,R:186 G:144 B:202
2023-11-16 14:40:32.827156,R:42 G:209 B:40
2023-11-16 14:41:02.863076,R:141 G:18 B:106
2023-11-16 14:41:32.898131,R:100 G:157 B:62
2023-11-16 14:42:02.931086,R:183 G:254 B:75
2023-11-16 14:42:32.963042,R:238 G:26 B:85
2023-11-16 14:43:02.989899,R:69 G:49 B:22
2023-11-16 14:43:33.031046,R:194 G:126 B:33
2023-11-16 14:44:03.075059,R:95 G:207 B:136
2023-11-16 14:44:33.111066,R:128 G:26 B:194
