Timestamp,Sound(dB)
2023-11-16 14:30:02.191840,64
2023-11-16 14:30:32.231064,46
2023-11-16 14:31:02.267399,75
2023-11-16 14:31:32.311429,79
2023-11-16 14:32:02.355107,62
2023-11-16 14:32:32.395053,39
2023-11-16 14:33:02.435073,78
2023-11-16 14:33:32.459112,66
2023-11-16 14:34:02.491185,76
2023-11-16 14:34:32.529921,49
2023-11-16 14:35:02.575084,62
2023-11-16 14:35:32.611066,66
2023-11-16 14:36:02.647071,78
2023-11-16 14:36:32.676755,45
2023-11-16 14:37:02.703089,94
2023-11-16 14:37:32.740313,83
2023-11-16 14:38:02.771185,39
2023-11-16 14:38:32.811020,89
2023-11-16 14:39:02.851087,42
2023-11-16 14:39:32.887997,74
2023-11-16 14:40:02.925353,73
2023-11-16 14:40:32.963598,67
2023-11-16 14:41:03.001211,90
2023-11-16 14:41:33.039101,82
2023-11-16 14:42:03.076666,41
2023-11-16 14:42:33.113221,45
2023-11-16 14:43:03.151509,46
2023-11-16 14:43:33.188667,43
2023-11-16 14:44:03.223761,68
2023-11-16 14:44:33.258906,61
